Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.95     0.00     2321     0.00     0.00  stb__match(unsigned char const*, unsigned int)
  0.00      0.95     0.00     2311     0.00     0.00  ImGui::IsPopupOpen(unsigned int, int)
  0.00      0.95     0.00     2299     0.00     0.00  CalcNextScrollFromScrollTargetAndClamp(ImGuiWindow*)
  0.00      0.95     0.00     2295     0.00     0.00  AddWindowToDrawData(ImGuiWindow*, int)
  0.00      0.95     0.00     2291     0.00     0.00  float ImMax<float>(float, float)
  0.00      0.95     0.00     2280     0.00     0.00  ClampWindowPos(ImGuiWindow*, ImRect const&)
  0.00      0.95     0.00     2277     0.00     0.00  ImVector<unsigned int>::resize(int)
  0.00      0.95     0.00     2276     0.00     0.00  ImDrawList::AddPolyline(ImVec2 const*, int, unsigned int, int, float)
  0.00      0.95     0.00     2276     0.00     0.00  ImGui::RenderWindowDecorations(ImGuiWindow*, ImRect const&, bool, bool, int, unsigned int const*, float)
  0.00      0.95     0.00     2272     0.00     0.00  ImVector<ImGuiFocusScopeData>::pop_back()
  0.00      0.95     0.00     2271     0.00     0.00  ImGuiViewportP::GetMainRect() const
  0.00      0.95     0.00     2269     0.00     0.00  ImGui::End()
  0.00      0.95     0.00     2268     0.00     0.00  ImGuiWindowStackData::ImGuiWindowStackData()
  0.00      0.95     0.00     2260     0.00     0.00  ImGui::SetLastItemData(unsigned int, int, int, ImRect const&)
  0.00      0.95     0.00     2258     0.00     0.00  IsWindowActiveAndVisible(ImGuiWindow*)
  0.00      0.95     0.00     2253     0.00     0.00  ImGui::LogFinish()
  0.00      0.95     0.00     2252     0.00     0.00  ImGuiMenuColumns::Update(float, bool)
  0.00      0.95     0.00     2248     0.00     0.00  ImVector<ImDrawList*>::push_back(ImDrawList* const&)
  0.00      0.95     0.00     2243     0.00     0.00  stbtt__new_active(stbtt__hheap*, stbtt__edge*, int, float, void*)
  0.00      0.95     0.00     2243     0.00     0.00  ImVector<ImGuiFocusScopeData>::push_back(ImGuiFocusScopeData const&)
  0.00      0.95     0.00     2240     0.00     0.00  ImVector<ImVec2>::resize(int)
  0.00      0.95     0.00     2233     0.00     0.00  ImVector<ImGuiWindowStackData>::pop_back()
  0.00      0.95     0.00     2231     0.00     0.00  GetWindowDisplayLayer(ImGuiWindow*)
  0.00      0.95     0.00     2219     0.00     0.00  ImDrawList::PushTextureID(void*)
  0.00      0.95     0.00     2218     0.00     0.00  ImGui::SetWindowViewport(ImGuiWindow*, ImGuiViewportP*)
  0.00      0.95     0.00     2200     0.00     0.00  ImGuiLastItemData::ImGuiLastItemData()
  0.00      0.95     0.00     2197     0.00     0.00  ImGui::PushFocusScope(unsigned int)
  0.00      0.95     0.00     2196     0.00     0.00  ImVector<ImDrawCmd>::pop_back()
  0.00      0.95     0.00     2182     0.00     0.00  ImGuiStackSizes::CompareWithContextState(ImGuiContext*)
  0.00      0.95     0.00     2181     0.00     0.00  ImGui::PopClipRect()
  0.00      0.95     0.00     2179     0.00     0.00  ImVector<ImGuiWindow*>::push_back(ImGuiWindow* const&)
  0.00      0.95     0.00     2178     0.00     0.00  CalcWindowContentSizes(ImGuiWindow*, ImVec2*, ImVec2*)
  0.00      0.95     0.00     2178     0.00     0.00  ImGui::Checkbox(char const*, bool*)
  0.00      0.95     0.00     2177     0.00     0.00  ImVector<void*>::push_back(void* const&)
  0.00      0.95     0.00     2174     0.00     0.00  AddRootWindowToDrawData(ImGuiWindow*)
  0.00      0.95     0.00     2174     0.00     0.00  ImDrawList::_ResetForNewFrame()
  0.00      0.95     0.00     2172     0.00     0.00  ImDrawListSplitter::Clear()
  0.00      0.95     0.00     2170     0.00     0.00  LowerBound(ImVector<ImGuiStorage::ImGuiStoragePair>&, unsigned int)
  0.00      0.95     0.00     2159     0.00     0.00  ImVector<ImDrawCmd>::resize(int)
  0.00      0.95     0.00     2158     0.00     0.00  ImDrawList::_PopUnusedDrawCmd()
  0.00      0.95     0.00     2153     0.00     0.00  stbtt__hheap_alloc(stbtt__hheap*, unsigned long, void*)
  0.00      0.95     0.00     2150     0.00     0.00  ImVector<ImVec4>::resize(int)
  0.00      0.95     0.00     2149     0.00     0.00  ImDrawList::PopClipRect()
  0.00      0.95     0.00     2149     0.00     0.00  ImGui::FindWindowByName(char const*)
  0.00      0.95     0.00     2149     0.00     0.00  ImRect::ClipWithFull(ImRect const&)
  0.00      0.95     0.00     2136     0.00     0.00  ImGui::Begin(char const*, bool*, int)
  0.00      0.95     0.00     2132     0.00     0.00  ImGuiStackSizes::SetToContextState(ImGuiContext*)
  0.00      0.95     0.00     2130     0.00     0.00  ImQsort(void*, unsigned long, unsigned long, int (*)(void const*, void const*))
  0.00      0.95     0.00     2129     0.00     0.00  AddWindowToSortBuffer(ImVector<ImGuiWindow*>*, ImGuiWindow*)
  0.00      0.95     0.00     2129     0.00     0.00  ImVector<void*>::resize(int)
  0.00      0.95     0.00     2124     0.00     0.00  ImVector<ImVec4>::pop_back()
  0.00      0.95     0.00     2118     0.00     0.00  ImGuiStackSizes::ImGuiStackSizes()
  0.00      0.95     0.00     2106     0.00     0.00  ImVector<ImGuiWindowStackData>::empty() const
  0.00      0.95     0.00     2104     0.00     0.00  ImGui::AddDrawListToDrawDataEx(ImDrawData*, ImVector<ImDrawList*>*, ImDrawList*)
  0.00      0.95     0.00     2104     0.00     0.00  ImGui::UpdateWindowParentAndRootLinks(ImGuiWindow*, int, ImGuiWindow*)
  0.00      0.95     0.00     2101     0.00     0.00  CalcWindowAutoFitSize(ImGuiWindow*, ImVec2 const&)
  0.00      0.95     0.00     2101     0.00     0.00  ImVector<ImGuiWindow*>::operator[](int)
  0.00      0.95     0.00     2095     0.00     0.00  ImGui::RenderWindowTitleBarContents(ImGuiWindow*, ImRect const&, char const*, bool*)
  0.00      0.95     0.00     2091     0.00     0.00  ImGui::Combo(char const*, int*, char const* const*, int, int)
  0.00      0.95     0.00     2083     0.00     0.01  SmoothOsc<gam::Sine<float, gam::DomainObserver> >::renderUI()
  0.00      0.95     0.00     2078     0.00     0.00  ImGuiStorage::GetVoidPtr(unsigned int) const
  0.00      0.95     0.00     2068     0.00     0.00  GetWindowBgColorIdx(ImGuiWindow*)
  0.00      0.95     0.00     2066     0.00     0.01  Oscillator4::renderUI(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >)
  0.00      0.95     0.00     2066     0.00     0.00  ImGui::PopFocusScope()
  0.00      0.95     0.00     2054     0.00     0.00  ImGuiMenuColumns::CalcNextTotalWidth(bool)
  0.00      0.95     0.00     2037     0.00     0.00  ImDrawList::_OnChangedTextureID()
